TA2013,population
001 Far North District,54576
002 Whangarei District,68094
003 Kaipara District,17460
076 Auckland,1160271
011 Thames-Coromandel District,25176
012 Hauraki District,17475
013 Waikato District,51843
015 Matamata-Piako District,29469
016 Hamilton City,116604
017 Waipa District,38958
018 Otorohanga District,9279
019 South Waikato District,23469
020 Waitomo District,9453
021 Taupo District,31521
022 Western Bay of Plenty District,37992
023 Tauranga City,91143
024 Rotorua District,64473
025 Whakatane District,32868
026 Kawerau District,6975
027 Opotiki District,9147
028 Gisborne District,43971
029 Wairoa District,8913
030 Hastings District,67428
031 Napier City,53661
032 Central Hawke's Bay District,12828
033 New Plymouth District,66603
034 Stratford District,8886
035 South Taranaki District,27537
036 Ruapehu District,14292
037 Wanganui District,43266
038 Rangitikei District,15102
039 Manawatu District,25578
040 Palmerston North City,73965
041 Tararua District,17859
042 Horowhenua District,29823
043 Kapiti Coast District,42447
044 Porirua City,47370
045 Upper Hutt City,36372
046 Lower Hutt City,95490
047 Wellington City,163824
048 Masterton District,22617
049 Carterton District,6849
050 South Wairarapa District,8745
051 Tasman District,41352
052 Nelson City,41568
053 Marlborough District,39555
054 Kaikoura District,3483
055 Buller District,9624
056 Grey District,12894
057 Westland District,7776
058 Hurunui District,9885
059 Waimakariri District,36903
060 Christchurch City,324078
062 Selwyn District,27291
063 Ashburton District,25443
064 Timaru District,41967
065 Mackenzie District,3717
066 Waimate District,7101
067 Chatham Islands Territory,717
068 Waitaki District,20085
069 Central Otago District,14466
070 Queenstown-Lakes District,17043
071 Dunedin City,114339
072 Clutha District,17172
073 Southland District,28716
074 Gore District,12459
075 Invercargill City,49830
999 Area Outside Territorial Authority,144
